# Name;Type;Cost;Code;Special;Text;Flavour text;Starter;Wave;Box;Deck;Start;End
;;;;;;;;;;;;
# Aeon's End;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Burning Opal;G;5;;;Gain 3$. You may discard a card in hand. If you do, any ally draws a card.;"""Careful, youngling. You'll be wanting tongs to handle that!"" - Adelheim, Breach Mage Weaponsmith";;1;Aeon's End;;55;61
Clouded Sapphire;G;6;;;Gain 3$. If this is the first time you have played Clouded Sapphire this turn, any ally gains 1 charge.;"""They say if you look closely, the shadow of The World That Was is imprisoned within."" - Phaedraxa, Breach Mage Seer";;1;Aeon's End;;62;68
Diamond Cluster;G;4;;;Gain 2$. If this is the second time you have played Diamond Cluster this turn, gain an additional 2$.;These gems were once the most precious, the most scarce. Now they line the walls of caves like shimmering fangs.;;1;Aeon's End;;69;75
Jade;G;2;A=2;;Gain 2$.;Jade is as common as bone at the mouth of the cave.;;1;Aeon's End;;76;82
Searing Ruby;G;4;;;Gain 2$. Gain an additional 1$ that can only be used to gain a spell.;"""Some use these to heat and light their hovels against the dark of the cave. Others know that within these gems lies a fire that can be tamed."" - Ghan, Gem Scavenger";;1;Aeon's End;;83;89
Sifter's Pearl;G;3;;;Gain 2$. Each player reveals the top card of their deck and either discards it or returns it to the top of their deck.;"""To those who have stepped through the breach, the pearl shows the splinters of time itself."" - Phaedraxa, Breach Mage Seer";;1;Aeon's End;;90;96
V'riswood Amber;G;3;;When you gain this, you may place it on top of your deck.;Gain 2$.;"""Once, the trees of V'riswood towered ancient and beautiful. These polished bits of their amber is all that remains beyond that memory."" - Brama, Breach Mage Elder";;1;Aeon's End;;97;103
Blasting Staff;R;4;;;You may cast a prepped spell that you prepped this turn. If you do, that spell deals 2 additional damage.;While appearing to be crudely fashioned, these staffs contain within them the very essence of the void.;;1;Aeon's End;;104;108
Bottled Vortex;R;3;;;Destroy this. Destroy up to two cards in your hand or discard pile. Draw a card.;"""There are worlds within worlds, infinite realms cascading from the yawning nothing."" - Phaedraxa, Breach Mage Seer";;1;Aeon's End;;109;113
Flexing Dagger;R;2;;;The next time you focus or open a breach this turn, it costs 3$.#OR#Destroy this. Deal 1 damage.;"""Forged from unstable void ore, the blade shifts with the will of its wielder."" - Adelheim, Breach Mage Weaponsmith";;1;Aeon's End;;114;118
Focusing Orb;R;4;;;Focus any player's breach.#OR#Destroy this. Gravehold gains 3 life.;Jian picked up the orb as if knowing its purpose. That was the last day she ever spoke.;;1;Aeon's End;;119;123
Mage's Talisman;R;5;;;Gain 1 charge. Any ally gains 1 charge.;The sister-mages of old would wear their talismans as a symbol of their station and a warning to those that would challenge them.;;1;Aeon's End;;124;128
Unstable Prism;R;3;;;Play a gem in hand twice and destroy it.#OR#Gain 2$.;"""Not every pretty rock is a means to wage war. Some must be cut and carved into more useful things."" - Adelheim, Breach Mage Weaponsmith";;1;Aeon's End;;129;133
Amplify Vision;S;4;;;Cast: Focus your closed breach with the lowest focus cost. Deal 2 damage. If all of your breaches are opened, deal 1 additional damage.;"""The breaches are merely a mirror through which worlds whisper."" - Phaedraxa, Breach Mage Seer";;1;Aeon's End;;134;138
Arcane Nexus;S;7;;While prepped, once per turn during your main phase you may return a gem you played this turn to your hand.;Cast: Deal 4 damage.;"""The taint of aether clings to everything in Gravehold. And we that survived near-extinction reek with it, too."" - Nerva, Survivor";;1;Aeon's End;;139;143
Chaos Arc;S;6;;;Cast: Deal 3 damage. Deal 2 additional damage for each prepped spell in an adjacent breach.;"""Even the blind can see what little is left of our world."" - Phaedraxa, Breach Mage Seer";;1;Aeon's End;;144;148
Consuming Void;S;7;;;Cast: Destroy up to two cards in hand. Deal 3 damage for each card destroyed in this way.;"""The Far Hollow hovels still smolder from the last time a mage lost his wits and will to the void."" - Ghan, Gem Scavenger";;1;Aeon's End;;149;153
Dark Fire;S;5;;;Cast: Discard up to two cards in hand. Deal 3 damage for each card discarded this way.;"""Xaxos always says, to come back to light, we must first visit the shadow."" - Malastar, Breach Mage Mentor";;1;Aeon's End;;154;158
Essence Theft;S;5;;;Cast: Deal 3 damage. You may discard a card in hand. If you do, any player gains 1 life.;"""There is talk of the link between the mages and our adversaries. More and more, the difference between the two becomes harder to see."" - Ohat, Dirt Merchant";;1;Aeon's End;;159;163
Feral Lightning;S;5;;This spell may be prepped to a closed breach without focusing it.;Cast: Deal 3 damage.;"""All things can be tamed."" - Lash, Breach Mage Scout";;1;Aeon's End;;164;168
Ignite;S;4;;;Cast: Deal 2 damage. Any ally gains 1 charge.;"""We are but one flickering flame against unimaginable dark."" - Kadir, Breach Mage Delver";;1;Aeon's End;;169;173
Lava Tendril;S;4;;While prepped, at the end of your casting phase, deal 1 damage.;Cast: Deal 3 damage.;"""My turn!"" - Nym, Breach Apprentice";;1;Aeon's End;;174;178
Oblivion Swell;S;5;;While prepped, once per turn during your main phase, you may gain 1$.;Cast: Deal 2 damage. You may discard a gem. If you do, deal additional damage equal to its cost.;Many folk have made their fortune harvesting gems. The very breaches through which The Nameless come bestow the stones with strange properties.;;1;Aeon's End;;179;183
;;;;;;;;;;;;
Planar Insight;S;6;;;Cast: Deal 2 damage. Deal 1 additional damage for each of your opened breaches.;"""She may no longer speak, but she sees much."" - Brama, Breach Mage Elder";;1;Aeon's End;;189;193
;;;;;;;;;;;;
Wildfire Whip;S;6;;While prepped, during your main phase, you may spend 2$ to cast any player's prepped spell.;Cast: Deal 4 damage.;"""Sometimes a little motivation is needed for dire situations."" - Z'hana, Breach Mage Renegade";;1;Aeon's End;;199;203
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Leeching Agate;G;3;;When you gain this, gain 1 charge.;Gain 2$.;"""These stones are among the most powerful in the labyrinth of lost caves. They are also the most corrupted."" - Kadir, Breach Mage Delver";;1;The Nameless;;2;8
Molten Hammer;R;5;;;Gain 1 charge. You may destroy a card in hand or on top of any player's discard pile.;"""Some tools are meant for making, while others hold a more pernicious look."" - Mist, Dagger Captain";;1;The Nameless;;9;13
